position,product_id,product_name,brand_name,mrp,discounted_price,stock_status,pack_info
55,deb1af03-9942-41bb-a2df-8431efe1f797,Too Yumm! Sour Cream & Onion Veggie Stix | Munching Snack | On-The-Go Munchies(75gms) & Veeba Cheese And Jalapeno Dip(300gms) Combo,Too Yumm!,214,200,In Stock,2 combo
56,7ae2021b-9b56-4d47-9ce4-defeefdedabb,Too Yumm! Bhoot Chips Created With Naagin Hot Sauce | Tasty & Spicy Potato Chips | 100% Vegetarian,Too Yumm!,60,51,In Stock,82 g
57,bf6b23d2-21b4-490b-a305-3f5af9db6e7d,Too Yumm! Aloo Chaat Potato Stix | Munching Snack | On-the-Go Munchies,Too Yumm!,60,42,In Stock,70 g
58,854d92af-bbdb-4a88-b910-ed52882c5e1f,Maggi Special Masala Spicy Yummy Instant Noodles,Too Yumm!,100,88,In Stock,280 g
59,b34204c2-cf0e-4417-a92b-00a1025adf8b,Too Yumm - Potato Chips Kashmiri Chilli(82gms) & Coca-Cola Soft Drink(750ml) Combo,Too Yumm!,95,89,In Stock,2 combo
60,bbeef31f-46a4-48cb-a94c-55ab098a99c6,Too Yumm! Bhoot Chips Created With Naagin Hot Sauce | Tasty & Spicy Potato Chips | 100% Vegetarian(82gms) & Coca-Cola Soft Drink(750ml) Combo,Too Yumm!,105,96,In Stock,2 combo
61,121b9c6f-aae0-4064-b859-c40bfc0de83c,Too Yumm! Karare Baked Munchy Masala Crisps(70gms) & Thums Up Soft Drink(750ml) Combo,Too Yumm!,65,64,In Stock,2 combo
62,789bf103-065a-4002-98c0-d3d09841dc09,"Too Yumm! Noodle Masala Karare | Munching Snack For Movies, Games, Parties & More",Too Yumm!,20,19,In Stock,67 g
63,7f02009b-1738-4511-a3ac-5dcc1624da0e,Too Yumm - Potato Chips Kashmiri Chilli(82gms) & Veeba Cheese And Jalapeno Dip(300gms) Combo,Too Yumm!,224,209,In Stock,2 combo
64,bfae2e4f-e1d6-4d1c-b3ec-6ef8dd49026c,Too Yumm - Potato Chips Kashmiri Chilli(82gms) & Diet Coke Can(300ml) Combo,Too Yumm!,90,84,In Stock,2 combo
65,e1883b62-e424-4eab-81c1-41abb93d409f,Too Yumm! Sour Cream & Onion Veggie Stix | Munching Snack | On-The-Go Munchies(75gms) & Coca-Cola Soft Drink(750ml) Combo,Too Yumm!,85,80,In Stock,2 combo
66,ea58c944-5204-4529-a74f-8cda7472f0f0,Too Yumm! Bhoot Wafers - Spicy Chips with Ghost Pepper Flavour,Too Yumm!,60,51,In Stock,82 g
67,2d08a074-5841-4b7e-a8e6-a18d64098ee7,Too Yumm - Rings Tomato Twist,Too Yumm!,60,42,In Stock,70 g
68,468408b2-8a2a-4da8-8ad8-fc5af03b32b0,Too Yumm! Sour Cream & Onion Veggie Stix | Munching Snack | On-The-Go Munchies(75gms) & Diet Coke Can(300ml) Combo,Too Yumm!,80,75,In Stock,2 combo
69,7b2701ec-5bdb-4473-b102-9cc502b489c6,Too Yumm! Bhoot Chips Created With Naagin Hot Sauce | Tasty & Spicy Potato Chips | 100% Vegetarian(82gms) & Diet Coke Can(300ml) Combo,Too Yumm!,100,91,In Stock,2 combo
70,9c237966-5d3e-43ec-acc1-2f3bf41ff8b8,Too Yumm - Potato Chips Kashmiri Chilli,Too Yumm!,50,44,In Stock,82 g
71,ca29aa73-80a7-4553-94fb-36c5f3dce414,Too Yumm! Sour Cream & Onion Veggie Stix | Munching Snack | On-The-Go Munchies(75gms) & Thums Up Soft Drink(750ml) Combo,Too Yumm!,85,80,In Stock,2 combo
