position,product_id,product_name,brand_name,mrp,discounted_price,stock_status,pack_info
22,c25191e7-afd9-443b-983d-6e70808e183c,Lay's Spanish Tomato Tango Potato Chips,Lay's,50,45,In Stock,82 g
23,5297a83c-77c0-4bf8-970a-947a7caabf85,Lay's Wafer Chips Red Chilli,Lay's,20,20,In Stock,48 g
24,7b8de3a6-b117-4bec-b1c9-91ed0887fecd,Lay'S American Cream & Onion Potato Chips(50gms) & Parle Hide & Seek Chocolate Biscuits(100gms) Combo,Lay's,50,48,In Stock,2 combo
25,a7a9b560-eaf9-4bd5-b099-ee396a092ade,Lay's Spanish Tomato Tango Potato Chips 48 g Combo,Lay's,60,57,In Stock,48 g X 3
26,ffe0f998-92ad-4394-b077-d74a9d017ea3,Lay's India's Magic Masala Potato Chips 143 g Combo,Lay's,234,162,In Stock,143 g X 3
27,4699dfae-81c2-428a-84e2-ac784d463616,Lay's India's Magic Masala Potato Chips,Lay's,30,30,In Stock,67 g
28,516318aa-0199-47a8-8efb-7b57d1caaf8e,Lay's American Cream & Onion Potato Chips 82 g Combo,Lay's,300,234,In Stock,82 g X 6
29,c1fdbb64-2cb2-49ed-8f20-0b0eba8e2dea,Lay's Hot n Sweet 82 g Combo,Lay's,300,234,In Stock,82 g X 6
30,6367b6ad-26f0-461e-bf08-6931be0b4ccd,Lay's American Style Cream & Onion Potato Chips 48 gms Combo,Lay's,40,40,In Stock,48gms X 2
31,af31d90a-aef9-45a2-bf05-b1faf582698b,Lay's American Cream & Onion Potato Chips 82 g Combo,Lay's,100,84,In Stock,82 g X 2
32,d7b4e0ca-9a82-44a2-8b7a-42eeadb72fa5,Lay's Spanish Tomato Tango Potato Chips 82 g Combo,Lay's,100,84,In Stock,82 g X 2
33,5cda5c89-920f-42e0-9485-7a79c34ae4b5,Lay's Potato Chips Wafer style - Salt with Pepper Flavour 40 g Combo,Lay's,60,54,In Stock,40 g X 3
34,7ffb904c-6169-46a2-9c9f-bdfc287572c7,Lay's Potato Chips - Chile Lemon Flavour,Lay's,20,20,In Stock,48 g
35,a4ef9436-ae9e-416c-a0a8-21921bd297cb,Veg Puff & Lay'S India'S Magic Masala Potato Chips Combo,Lay's,179,115,In Stock,2 combo
36,ab9ccdee-47e5-4c10-9eba-2ec03450a0c4,Masterchow Schzewan Chutney(250gms) & Lay'S India'S Magic Masala Potato Chips(157gms) Combo,Lay's,176,142,In Stock,2 combo
37,cb9c96b6-dc53-48e6-82b3-ffbd87824e2a,Lay's India's Magic Masala Potato Chips 82 g Combo,Lay's,200,160,In Stock,82 g X 4
38,5b39b166-48be-4b07-8f21-72162a861a86,Lay's Potato Chips - Chile Lemon Flavour 48 g Combo,Lay's,80,76,In Stock,48 g X 4
39,a1846726-c186-42a6-b55f-851bd58a95ec,Lay's India's Magic Masala Potato Chips,Lay's,78,68,In Stock,143 g
40,64cfe3fd-d3f1-431f-9655-d57c3a38e1d4,Lay's Spanish Tomato Tango Potato Chips,Lay's,20,20,In Stock,48 g
41,c4cfb628-36be-42bf-a1a3-11e1f3cf0971,Lay's American Cream & Onion Potato Chips,Lay's,78,68,In Stock,143 g
42,f21c3c52-e8bb-43f1-84b8-5412a032b0ff,Lay's India's Magic Masala Potato Chips 48 g Combo,Lay's,60,56,In Stock,67 g X 2
43,07878a63-2656-4618-a7cc-ecfe8c2faf22,Lay's India's Magic Masala Potato Chips,Lay's,20,20,In Stock,48 g
44,a221968b-7cf1-4af7-adfd-40b8b19360ce,Lay's American Cream & Onion Potato Chips,Lay's,30,30,In Stock,67 g
45,918d66a3-516f-4650-ba60-661c9f91bbb0,Lay's Potato Chips - Sizzling Hot Spicy Flavour,Lay's,20,20,In Stock,48 g
46,c440e7a9-6b6d-4cb7-8607-630eae903a09,Lay's Classic Salted Potato Chips 67 g Combo,Lay's,90,75,In Stock,67 g X 3
47,d5f0df87-4d7e-40de-87db-2da8ac99d1a6,Schezwan Chutney(250gms) & Lays(157gms) Combo,Lay's,168,152,In Stock,2 combo
48,ed9028c3-1de0-40fa-8c6e-4965f7122869,Lay's American Cream & Onion Potato Chips 82 g Combo,Lay's,100,76,In Stock,82 g X 2
49,ed5bf052-41c8-44cf-9258-8b997b7c3625,Lay's Potato Chips Wafer style - Salt with Pepper Flavour 40 g Combo,Lay's,40,38,In Stock,40 g X 2
50,f05e8775-775f-48cb-8c84-adfffe4417aa,Britannia Treat Jimjam Cream Biscuits(92gms) & Lay'S American Cream & Onion Potato Chips(50gms) Combo,Lay's,45,44,In Stock,2 combo
51,77dcf1a4-8abe-462d-a5fa-36f6c23385e0,Lay's American Cream & Onion Potato Chips 82 g Combo,Lay's,150,120,In Stock,82 g X 3
52,a74120ab-4099-42f5-b91e-74beb1f6ac5b,Lay's Hot n Sweet,Lay's,50,45,In Stock,82 g
53,c1649f4a-66f2-4e7b-9275-9cf6a0c60a4d,Lay'S West Indies Hot 'N' Sweet Chilli Potato Chips (50g) & Sting Gold Night Fuel Energy Drink (250ml) Combo,Lay's,40,40,In Stock,2 combo
54,c1fdbb64-2cb2-49ed-8f20-0b0eba8e2dea,Lay's Hot n Sweet 82 g Combo,Lay's,300,234,In Stock,82 g X 6
55,7ffb904c-6169-46a2-9c9f-bdfc287572c7,Lay's Potato Chips - Chile Lemon Flavour,Lay's,20,20,In Stock,48 g
56,9a2435cc-b19e-4ba7-a92f-1e1e71946bbd,Lay's Potato Chips - Sizzling Hot Spicy Flavour 48 g Combo,Lay's,40,38,In Stock,48 g X 2
57,cb9c96b6-dc53-48e6-82b3-ffbd87824e2a,Lay's India's Magic Masala Potato Chips 82 g Combo,Lay's,200,160,In Stock,82 g X 4
58,2c908407-8a06-4933-bb0c-76cfd31e75ef,Lay's American Cream & Onion Potato Chips 48 g Combo,Lay's,40,38,In Stock,48 g X 2
59,1e28f2c0-fbc5-4366-9efb-a65bd12428cb,Lay's American Cream & Onion Potato Chips,Lay's,20,20,In Stock,48 g
60,77dcf1a4-8abe-462d-a5fa-36f6c23385e0,Lay's American Cream & Onion Potato Chips 82 g Combo,Lay's,150,120,In Stock,82 g X 3
61,25ef8b85-27a3-4486-800d-43d6c074a686,Lay's Spanish Tomato Tango Potato Chips 67 g Combo,Lay's,90,75,In Stock,67 g X 3
62,70bda37d-7f15-4189-b90c-e16dc170d950,Lay's West Indies Hot 'n' Sweet Chilli Potato Chips,Lay's,20,20,In Stock,48 g
63,c1fdbb64-2cb2-49ed-8f20-0b0eba8e2dea,Lay's Hot n Sweet 82 g Combo,Lay's,300,234,In Stock,82 g X 6
64,ed5bf052-41c8-44cf-9258-8b997b7c3625,Lay's Potato Chips Wafer style - Salt with Pepper Flavour 40 g Combo,Lay's,40,38,In Stock,40 g X 2
65,f7d6fbb8-e9b3-444a-bc11-e6ff4976508c,Lay's India's Magic Masala Potato Chips 48 g Combo,Lay's,60,54,In Stock,48 g X 3
66,45a9db85-52f1-4f43-8477-ac3928fc9f69,Lay's Classic Salted Potato Chips Packet Combo,Lay's,40,38,In Stock,50 g X 2
67,f78a514e-a619-4f81-ace6-2e1dd26eb8b6,Lay'S American Cream & Onion Potato Chips(82gms) & Doritos Nacho Chips - Cheese Flavour(82gms) Combo,Lay's,100,90,In Stock,2 combo
68,918d66a3-516f-4650-ba60-661c9f91bbb0,Lay's Potato Chips - Sizzling Hot Spicy Flavour,Lay's,20,20,In Stock,48 g
69,c1649f4a-66f2-4e7b-9275-9cf6a0c60a4d,Lay'S West Indies Hot 'N' Sweet Chilli Potato Chips (50g) & Sting Gold Night Fuel Energy Drink (250ml) Combo,Lay's,40,40,In Stock,2 combo
70,228b2df5-1139-44bd-9b4d-0c9dd52ca987,Masterchow Schzewan Chutney(250gms) & Lay'S Classic Salted Potato Chips(50gms) Combo,Lay's,118,96,In Stock,2 combo
71,351db1e6-d693-4a28-88a8-2d59e864f67a,Lay's Classic Salted Potato Chips,Lay's,30,30,In Stock,67 g
72,ab9ccdee-47e5-4c10-9eba-2ec03450a0c4,Masterchow Schzewan Chutney(250gms) & Lay'S India'S Magic Masala Potato Chips(157gms) Combo,Lay's,176,142,In Stock,2 combo
73,46e35333-ecfa-429e-b8f9-8db79f14773d,Lay's Classic Salted Potato Chips 82 g Combo,Lay's,100,84,In Stock,82 g X 2
74,999759f6-3fdc-4bdd-8456-8d8fffc72901,Lay's Spanish Tomato Tango Potato Chips 48 g Combo,Lay's,60,54,In Stock,67 g X 2
75,9ce3a4a9-0362-4efd-b1dc-998f3aebdea7,Lay's Wafer Chips Red Chilli 48 g Combo,Lay's,40,38,In Stock,48 g X 2
76,dcbb2351-7440-491f-b906-1d2cdf5a89b3,Lay's Potato Chips - Chile Lemon Flavour,Lay's,40,38,In Stock,48 g X 2
77,f05e8775-775f-48cb-8c84-adfffe4417aa,Britannia Treat Jimjam Cream Biscuits(92gms) & Lay'S American Cream & Onion Potato Chips(50gms) Combo,Lay's,45,44,In Stock,2 combo
78,094577ca-fa23-4f0a-a9b9-7ffbe6f95451,Lay's Hot n Sweet 82 g Combo,Lay's,150,120,In Stock,82 g X 3
79,a1846726-c186-42a6-b55f-851bd58a95ec,Lay's India's Magic Masala Potato Chips,Lay's,78,68,In Stock,143 g
80,d7b4e0ca-9a82-44a2-8b7a-42eeadb72fa5,Lay's Spanish Tomato Tango Potato Chips 82 g Combo,Lay's,100,84,In Stock,82 g X 2
81,a221968b-7cf1-4af7-adfd-40b8b19360ce,Lay's American Cream & Onion Potato Chips,Lay's,30,30,In Stock,67 g
82,a4ef9436-ae9e-416c-a0a8-21921bd297cb,Veg Puff & Lay'S India'S Magic Masala Potato Chips Combo,Lay's,179,115,In Stock,2 combo
83,412dbedc-18da-4091-90f7-21cd63b0b996,Lay'S India'S Magic Masala Potato Chips(50gms) & Mountain Dew Soft Drink Pet(750ml) Combo,Lay's,60,59,In Stock,2 combo
84,71677def-d95b-45c9-be2a-630206f10bb3,Doritos Cheese Nachos & Lay's West Indies Hot 'n' Sweet Chilli Chips Combo,Lay's,40,40,In Stock,2 Combo
85,88fd058d-398e-49cb-b3ba-b4664f7b381a,Lay's India's Magic Masala Potato Chips 82 g Combo,Lay's,100,84,In Stock,82 g X 2
86,2c908407-8a06-4933-bb0c-76cfd31e75ef,Lay's American Cream & Onion Potato Chips 48 g Combo,Lay's,40,38,In Stock,48 g X 2
87,45a9db85-52f1-4f43-8477-ac3928fc9f69,Lay's Classic Salted Potato Chips Packet Combo,Lay's,40,38,In Stock,50 g X 2
88,c1fdbb64-2cb2-49ed-8f20-0b0eba8e2dea,Lay's Hot n Sweet 82 g Combo,Lay's,300,234,In Stock,82 g X 6
89,c8ad56e4-8d71-451d-828f-34b90da8ac65,Lay's Potato Chips - Chile Lemon Flavour,Lay's,120,108,In Stock,1 pack (6 pcs)
90,cb9c96b6-dc53-48e6-82b3-ffbd87824e2a,Lay's India's Magic Masala Potato Chips 82 g Combo,Lay's,200,160,In Stock,82 g X 4
91,ed5bf052-41c8-44cf-9258-8b997b7c3625,Lay's Potato Chips Wafer style - Salt with Pepper Flavour 40 g Combo,Lay's,40,38,In Stock,40 g X 2
92,5bd89e3a-7b94-467a-83d0-6949d6b542c7,Lay's Classic Salted Potato Chips 82 g Combo,Lay's,150,120,In Stock,82 g X 3
93,c0343b75-12c7-4652-9521-9be8bff5e124,Lay'S American Cream & Onion Potato Chips(82gms) & Pepsi Soft Drink(750ml) Combo,Lay's,95,90,In Stock,2 combo
94,d86fab5c-97d7-488e-b529-ee6646a07739,Lay's Potato Chips - Sizzling Hot Spicy Flavour 48 g Combo,Lay's,60,54,In Stock,48 g X 3
95,dc14dcbc-c4d7-48ff-85be-5535cc0f0afc,Lay's Classic Salted Potato Chips 67 g Combo,Lay's,60,54,In Stock,67 g X 2
96,094577ca-fa23-4f0a-a9b9-7ffbe6f95451,Lay's Hot n Sweet 82 g Combo,Lay's,150,120,In Stock,82 g X 3
97,28f16f7d-8063-4ac2-87ed-fd4d39bc91f4,Lay's Classic Salted Potato Chips 82 g Combo,Lay's,300,234,In Stock,82 g X 6
98,c440e7a9-6b6d-4cb7-8607-630eae903a09,Lay's Classic Salted Potato Chips 67 g Combo,Lay's,90,75,In Stock,67 g X 3
99,12cdefc2-c4c6-4a74-8b63-cefd3e293a3c,Lay's Classic Salted Potato Chips,Lay's,20,20,In Stock,48 g
100,5297a83c-77c0-4bf8-970a-947a7caabf85,Lay's Wafer Chips Red Chilli,Lay's,20,20,In Stock,48 g
101,a1846726-c186-42a6-b55f-851bd58a95ec,Lay's India's Magic Masala Potato Chips,Lay's,78,68,In Stock,143 g
102,b2650536-6d7c-44a3-8ca3-31d5e879d714,Lay'S India'S Magic Masala Potato Chips(50gms) & Pepsi Soft Drink(750ml) Combo,Lay's,65,64,In Stock,2 combo
103,ab9ccdee-47e5-4c10-9eba-2ec03450a0c4,Masterchow Schzewan Chutney(250gms) & Lay'S India'S Magic Masala Potato Chips(157gms) Combo,Lay's,176,142,In Stock,2 combo
104,f05e8775-775f-48cb-8c84-adfffe4417aa,Britannia Treat Jimjam Cream Biscuits(92gms) & Lay'S American Cream & Onion Potato Chips(50gms) Combo,Lay's,45,44,In Stock,2 combo
105,d7b4e0ca-9a82-44a2-8b7a-42eeadb72fa5,Lay's Spanish Tomato Tango Potato Chips 82 g Combo,Lay's,100,84,In Stock,82 g X 2
106,412dbedc-18da-4091-90f7-21cd63b0b996,Lay'S India'S Magic Masala Potato Chips(50gms) & Mountain Dew Soft Drink Pet(750ml) Combo,Lay's,60,59,In Stock,2 combo
107,45a9db85-52f1-4f43-8477-ac3928fc9f69,Lay's Classic Salted Potato Chips Packet Combo,Lay's,40,38,In Stock,50 g X 2
108,ae27de46-b15c-4fea-a30a-9e911d9c04e5,Lay's Wafer Chips Red Chilli 48 g Combo,Lay's,80,76,In Stock,48 g X 4
109,b08e8147-960c-4905-acc6-2fa36069964a,Lays Wafer Chips Red Chilli Flavor,Lay's,50,40,In Stock,82 g
110,ed9028c3-1de0-40fa-8c6e-4965f7122869,Lay's American Cream & Onion Potato Chips 82 g Combo,Lay's,100,76,In Stock,82 g X 2
111,88fd058d-398e-49cb-b3ba-b4664f7b381a,Lay's India's Magic Masala Potato Chips 82 g Combo,Lay's,100,84,In Stock,82 g X 2
112,d5f0df87-4d7e-40de-87db-2da8ac99d1a6,Schezwan Chutney(250gms) & Lays(157gms) Combo,Lay's,168,152,In Stock,2 combo
113,ed5bf052-41c8-44cf-9258-8b997b7c3625,Lay's Potato Chips Wafer style - Salt with Pepper Flavour 40 g Combo,Lay's,40,38,In Stock,40 g X 2
114,07878a63-2656-4618-a7cc-ecfe8c2faf22,Lay's India's Magic Masala Potato Chips,Lay's,20,20,In Stock,48 g
115,12cdefc2-c4c6-4a74-8b63-cefd3e293a3c,Lay's Classic Salted Potato Chips,Lay's,20,20,In Stock,48 g
116,77dcf1a4-8abe-462d-a5fa-36f6c23385e0,Lay's American Cream & Onion Potato Chips 82 g Combo,Lay's,150,120,In Stock,82 g X 3
117,2352fa0f-e4ac-4bef-bf34-27aef568a133,Lay'S India'S Magic Masala Potato Chips(82gms) & Mountain Dew Soft Drink(750ml) Combo,Lay's,90,85,In Stock,2 combo
118,351db1e6-d693-4a28-88a8-2d59e864f67a,Lay's Classic Salted Potato Chips,Lay's,30,30,In Stock,67 g
119,3580a6f9-afe2-476f-9aef-7798ed22350f,Lay's West Indies Hot 'n' Sweet Chilli Potato Chips 50 g Combo,Lay's,60,57,In Stock,50 g X 3
120,6daad06f-a509-40a4-b6eb-4c684abf3183,Lay's Spanish Tomato Tango Potato Chips,Lay's,30,30,In Stock,67 g
121,71677def-d95b-45c9-be2a-630206f10bb3,Doritos Cheese Nachos & Lay's West Indies Hot 'n' Sweet Chilli Chips Combo,Lay's,40,40,In Stock,2 Combo
