position,product_id,product_name,brand_name,mrp,discounted_price,stock_status,pack_info
1,094577ca-fa23-4f0a-a9b9-7ffbe6f95451,Lay's Hot n Sweet 82 g Combo,Lay's,150,120,In Stock,82 g X 3
2,6daad06f-a509-40a4-b6eb-4c684abf3183,Lay's Spanish Tomato Tango Potato Chips,Lay's,30,30,In Stock,67 g
3,f7d6fbb8-e9b3-444a-bc11-e6ff4976508c,Lay's India's Magic Masala Potato Chips 48 g Combo,Lay's,60,54,In Stock,48 g X 3
4,2c908407-8a06-4933-bb0c-76cfd31e75ef,Lay's American Cream & Onion Potato Chips 48 g Combo,Lay's,40,38,In Stock,48 g X 2
5,cb9c96b6-dc53-48e6-82b3-ffbd87824e2a,Lay's India's Magic Masala Potato Chips 82 g Combo,Lay's,200,160,In Stock,82 g X 4
6,eafa9397-f58e-407c-a370-1774b0c98b82,Lay's Spanish Tomato Tango Potato Chips 48 g Combo,Lay's,40,38,In Stock,48 g X 2
7,9595b7b2-21fb-43c2-b195-87805ea25057,Lay's Classic Salted Potato Chips,Lay's,50,45,In Stock,82 g
8,9a2435cc-b19e-4ba7-a92f-1e1e71946bbd,Lay's Potato Chips - Sizzling Hot Spicy Flavour 48 g Combo,Lay's,40,38,In Stock,48 g X 2
9,b360b95f-3e22-4f6a-b464-d4e28606c3c7,Lay'S India'S Magic Masala Potato Chips (67g) & Sting Gold Night Fuel Energy Drink (250ml) Combo,Lay's,50,50,In Stock,2 combo
10,7ffb904c-6169-46a2-9c9f-bdfc287572c7,Lay's Potato Chips - Chile Lemon Flavour,Lay's,20,20,In Stock,48 g
11,2f3429c4-b672-4291-9036-3a9c2751db68,Lay'S American Cream & Onion Potato Chips (48g) & Sting Gold Night Fuel Energy Drink (250ml) Combo,Lay's,40,40,In Stock,2 combo
12,3fbd2552-f7e2-44ee-8cb7-a70f2f75d31d,Lay's West Indies Hot 'n' Sweet Chilli Potato Chips 50 g Combo,Lay's,40,38,In Stock,50 g X 2
13,5b39b166-48be-4b07-8f21-72162a861a86,Lay's Potato Chips - Chile Lemon Flavour 48 g Combo,Lay's,80,76,In Stock,48 g X 4
14,12cdefc2-c4c6-4a74-8b63-cefd3e293a3c,Lay's Classic Salted Potato Chips,Lay's,20,20,In Stock,48 g
15,70bda37d-7f15-4189-b90c-e16dc170d950,Lay's West Indies Hot 'n' Sweet Chilli Potato Chips,Lay's,20,20,In Stock,48 g
16,af31d90a-aef9-45a2-bf05-b1faf582698b,Lay's American Cream & Onion Potato Chips 82 g Combo,Lay's,100,84,In Stock,82 g X 2
17,c440e7a9-6b6d-4cb7-8607-630eae903a09,Lay's Classic Salted Potato Chips 67 g Combo,Lay's,90,75,In Stock,67 g X 3
18,d86d05e4-4ea6-4a61-a185-b101c1094509,Lay's Potato Chips Wafer style - Salt with Pepper Flavour,Lay's,20,20,In Stock,40 g
19,134a63d6-1315-419c-96ff-4621c5960668,Doritos Cheese Nachos & Lay's India's Magic Masala Chips Combo,Lay's,40,40,In Stock,2 Combo
20,4524eb2c-168a-4157-8b7a-961999c2896b,Lay's American Cream & Onion Potato Chips 48 g Combo,Lay's,60,56,In Stock,67 g X 2
21,c1649f4a-66f2-4e7b-9275-9cf6a0c60a4d,Lay'S West Indies Hot 'N' Sweet Chilli Potato Chips (50g) & Sting Gold Night Fuel Energy Drink (250ml) Combo,Lay's,40,40,In Stock,2 combo
